

GENERAL INFORMATIONS

Informations on NET;;
;;
Version;anNET 1.1.06;
Date;15-Sep-2016 14:52:36;
Model;/ssd/common/tools/anNET/1.1.06/Ecoli_JR904.csv;
Data;/ssd/common/tools/anNET/1.1.06/Schaub.csv;
Thermo;/ssd/common/tools/anNET/1.1.06/Alberty_ext.csv;
Solver;fmincon;
Time elapsed;00:21:50;
;;
Original size;;
Metabolites;762;
Reactions;923;
;;
Reduced model;;
Metabolites;144;
Reactions;163;
Sums;4;
Ratios;3;



CONCENTRATIONS

Metabolite;DfG'�;Range Min;Range Max;Optim Min;Optim Max;
TEST_NADTRHD;[c]nad + nadph --> nadh + nadp;1;0;0;0;NaN;NaN;
TRDR;[c]h + nadph + trdox --> nadp + trdrd;1;0;0;0;NaN;NaN;
PGL;[c]6pgl + h2o --> 6pgc + h;1;1;0;0;NaN;NaN;
EDA;[c]2ddg6p --> g3p + pyr;1;0;0;0;NaN;NaN;
EDD;[c]6pgc --> 2ddg6p + h2o;1;0;0;0;NaN;NaN;
GND;[c]6pgc + nadp + h2o --> co2tot + nadph + ru5p-D;1;1;0;0;NaN;NaN;
RPE;[c]ru5p-D <==> xu5p-D;0;1;0;0;NaN;NaN;
RPI;[c]r5p <==> ru5p-D;0;1;0;0;NaN;NaN;
TALA;[c]g3p + s7p <==> e4p + f6p;0;1;0;0;NaN;NaN;
TKT1;[c]r5p + xu5p-D <==> g3p + s7p;0;1;0;0;NaN;NaN;
TKT2;[c]e4p + xu5p-D <==> f6p + g3p;0;1;0;0;NaN;NaN;
G6PDH2r;[c]g6p + nadp <==> 6pgl + h + nadph;0;1;0;0;NaN;NaN;
GMPS2;[c]atp + gln-L + h2o + xmp --> amp + glu-L + gmp + (2) h + ppi;1;0;0;0;NaN;NaN;
IMPD;[c]h2o + imp + nad --> h + nadh + xmp;1;0;0;0;NaN;NaN;
GMPR;[c]gmp + (2) h + nadph --> imp + nadp + nh4;1;0;0;0;NaN;NaN;
ACKr;[c]ac + atp <==> actp + adp;0;0;0;0;NaN;NaN;
ACS;[c]ac + atp + coa --> accoa + amp + ppi;1;0;0;0;NaN;NaN;
ADHEr;[c]accoa + (2) h + (2) nadh <==> coa + etoh + (2) nad;0;0;0;0;NaN;NaN;
LDH_D;[c]lac-D + nad <==> h + nadh + pyr;0;0;0;0;NaN;NaN;
FHL;[c]for + h + h2o --> co2tot + h2;1;0;0;0;NaN;NaN;
PTAr;[c]accoa + pi <==> actp + coa;0;0;0;0;NaN;NaN;
PFL;[c]coa + pyr --> accoa + for;1;0;0;0;NaN;NaN;
THRAr;[c]thr-L <==> acald + gly;0;0;0;0;NaN;NaN;
O2t;o2[e] <==> o2[c];0;0;0;0;NaN;NaN;
H2Ot;h2o[e] <==> h2o[c];0;0;0;0;NaN;NaN;
DHQD;[c]3dhq <==> 3dhsk + h2o;0;1;0;0;NaN;NaN;
SHK3Dr;[c]3dhsk + h + nadph <==> nadp + skm;0;1;0;0;NaN;NaN;
TRPAS2;[c]h2o + trp-L <==> indole + nh4 + pyr;0;0;0;0;NaN;NaN;
TRPS2;[c]indole + ser-L --> h2o + trp-L;1;0;0;0;NaN;NaN;
ATPM;[c]atp + h2o --> adp + h + pi;1;0;0;0;NaN;NaN;
CAT;[c](2) h2o2 --> (2) h2o + o2;1;0;0;0;NaN;NaN;
LEUTAi;[c]4mop + glu-L --> akg + leu-L;1;1;0;0;NaN;NaN;



LOG

  - parse compartments from /ssd/common/tools/anNET/1.1.06/Ecoli_JR904.csv;
  - parse reactions from /ssd/common/tools/anNET/1.1.06/Ecoli_JR904.csv;
  - parse concentrations from /ssd/common/tools/anNET/1.1.06/Schaub.csv;
  - parse flux directions from /ssd/common/tools/anNET/1.1.06/Schaub.csv;
    - transporter found: (ATPS4r) adp[c] + (4) h[e] + pi[c] <==> atp[c] + (3) h[c] + h2o[c];
      - process: h [c>e];
        correct for PMT: rhs by -27.3986, z_trans by 3;
        correct for membrane pot (z_trans = 3) rhs by 0;
      - TOT rhs = -27.3986;
    - transporter found: (CYTBD) (2) h[c] + (0.5) o2[c] + q8h2[c] --> (2) h[e] + h2o[c] + q8[c];
      - process: h [c>e];
        correct for PMT: rhs by 18.2657, z_trans by -2;
        correct for membrane pot (z_trans = -2) rhs by 0;
      - TOT rhs = 18.2657;
    - transporter found: (CYTBO3) (2.5) h[c] + (0.5) o2[c] + q8h2[c] --> (2.5) h[e] + h2o[c] + q8[c];
      - process: h [c>e];
        correct for PMT: rhs by 22.8322, z_trans by -2.5;
        correct for membrane pot (z_trans = -2.5) rhs by 0;
      - TOT rhs = 22.8322;
    - transporter found: (FDH2) for[c] + (3) h[c] + q8[c] + h2o[c]--> co2tot[c] + (2) h[e] + q8h2[c];
      - process: h [c>e];
        correct for PMT: rhs by -18.2657, z_trans by 2;
        correct for membrane pot (z_trans = 2) rhs by 0;
      - TOT rhs = -18.2657;
    - transporter found: (HYD1) (2) h[c] + h2[c] + q8[c] --> (2) h[e] + q8h2[c];
      - process: h [c>e];
        correct for PMT: rhs by 18.2657, z_trans by -2;
        correct for membrane pot (z_trans = -2) rhs by 0;
      - TOT rhs = 18.2657;
    - transporter found: (NO3R1) (2) h[c] + no3[c] + q8h2[c] --> (2) h[e] + h2o[c] + no2[c] + q8[c];
      - process: h [c>e];
        correct for PMT: rhs by 18.2657, z_trans by -2;
        correct for membrane pot (z_trans = -2) rhs by 0;
      - TOT rhs = 18.2657;
    - transporter found: (NADH6) (4.5) h[c] + nadh[c] + q8[c] --> (3.5) h[e] + nad[c] + q8h2[c];
      - process: h [c>e];
        correct for PMT: rhs by -31.965, z_trans by 3.5;
        correct for membrane pot (z_trans = 3.5) rhs by 0;
      - TOT rhs = -31.965;
    - transporter found: (THD2) h[e] + nadh[c] + nadp[c] --> h[c] + nad[c] + nadph[c];
      - process: h [c>e];
        correct for PMT: rhs by -9.1329, z_trans by 1;
        correct for membrane pot (z_trans = 1) rhs by 0;
      - TOT rhs = -9.1329;
